Column1,Customer,Furnace,Concatenated Reference,Address Line 1,Address Line 2,Address Line 3,Form Number:,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Intergral,Derivative,Other 1,Other 2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,Furnace Lookup,,,,Customer,Address Line 1,Address Line 2,Address Line 3,Form Number,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Integral,Derivative,Other 1,Other2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,,Customers,,AssetPoolId,
272,LTC INC. - PLANT 3,CORE OVEN,LTC INC. - PLANT 3CORE OVEN,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,CORE OVEN,AF MODEL 40 LAB OVEN,A4-2800,CORE OVEN,UNASSIGNED,150°F/250°F,±10.0°F,ELECTRIC ON/OFF,"16"" X 19"" X 13""",2.3,6 Mo,AF Model 40 Controller*,A4-2800 Controller,Comments,N/A,N/A,N/A,*Confirmed capability of maintaining unit within uniformity tolerance.  (Non-indicating controller),On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD CUSTOM ENTERPRISES LLC,,,
273,LTC INC. - PLANT 3,"EVC3,LTC #1399","LTC INC. - PLANT 3EVC3,LTC #1399",2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,ENVIRONMENTAL CHAMBER,CINCINNATI Z16+,ZP0941963,"EVC3, LTC#1399",UNASSIGNED,-30°F/170°F,±5°F,ELECTRIC,"24"" X 24"" X 24""",8,6 Mo,CINCINNATI SUB ZERO*,LTC #1493,±2°F*,N/A,N/A,N/A,*Tested via ISC method during survey. NOTE: Controller setpoint low setting limited to -29.2°F.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty Shelves,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDH INCORPORATED,,,
274,LTC INC. - PLANT 3,Freezer 1B,LTC INC. - PLANT 3Freezer 1B,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, TP2816A",SPECIFICATION,Walk In Freezer,U.S. Cooler,Freezer 1B,Freezer 1B,UNASSIGNED,0°F MAX,0°F MAX,ELECTRIC,12.5' X 9.5' X 66',7837,A,See Comments*,Freezer 1B,N/A,"Wizard2 TH-034, TH-040**","16341865, 16341864",±2°F,"""Setpoint"" = average of all readings.  *Freezer controlled by 4 separate units all acting as one. Confirmed capability of freezer to maintain tolerance. **Tested by ISC method during survey.",On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,"Fill in ""EMPTY"" or ""__% FULL""",0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDS ENGINEERING,,,
275,LTC INC. - PLANT 3,FREEZER NO. 1,LTC INC. - PLANT 3FREEZER NO. 1,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,FREEZER,ICS 6078FB,51644,FREEZER NO. 1,UNASSIGNED,0°F MAX,0°F MAX,ELECTRIC ON/OFF,"127"" X 82"" X 263""",1585,6 Mo,Temp Alert TA-2,04-007,*See Comments,Wizard 2,TH-034,±2°F,*Confirmed capability of maintaining unit within tolerance.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,"Fill in ""EMPTY"" or ""__% FULL""",0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE MACHINE CO.,,,
276,LTC INC. - PLANT 3,FREEZER NO. 3,LTC INC. - PLANT 3FREEZER NO. 3,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,FREEZER,ICS 0165955,04 113085 D1,FREEZER NO. 3,UNASSIGNED,0°F MAX,0°F MAX,ELECTRIC ON/OFF,"128"" X 92"" X 224""",1526.5,6 Mo,N/A,N/A,N/A*,Dickson Wizard WT640,TH-033,±2°F (ISC method),*Confirmed capability to maintain unit within desired uniformity tolerance.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,"Fill in ""EMPTY"" or ""__% FULL""",0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECO PIPELINE SERVICES,,,
277,LTC INC. - PLANT 3,LAB FURNACE,LTC INC. - PLANT 3LAB FURNACE,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,LAB FURNACE,TFO-1,07-017,LAB FURNACE,UNASSIGNED,100°F/550°F,±10°F,ELECTRIC,"12"" X 12"" X 16""",1.33,6 Mo,WATLOW SERIES 981,176483,±2°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,13,0.17,0.2,CT 1,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CECO, INC.",,,
278,LTC INC. - PLANT 3,LAB OVEN,LTC INC. - PLANT 3LAB OVEN,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",CUSTOMER,LAB OVEN,AF MODEL 40 LAB OVEN,A4-2800,LAB OVEN,UNASSIGNED,150°F/250°F,±10°F,ELECTRIC ON/OFF,"16"" X 19"" X 13""",2.3,6 Mo,AF Model 40 Controller*,A4-2800 Controller,Comments,N/A,N/A,N/A,*Confirmed capability of maintaining unit within uniformity tolerance.  (Non-indicating controller),On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CELCO,,,
279,LTC INC. - PLANT 3,Freezer No. 4,LTC INC. - PLANT 3Freezer No. 4,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, TP2816A",SPECIFICATION,Walk In Freezer,U.S. Cooler,19-020,Freezer No. 4,UNASSIGNED,0°F MAX,0°F MAX,ELECTRIC,17.5' X 10' X 45',7875,A,Kason*,N020787,±5°F,"Wizard2 TH-035, TH-036*","16362431, 16362430",±5°F,*Tested by ISC method.,On-Site,PRODUCTION - Tested on Site,Used,,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,"Fill in ""EMPTY"" or ""__% FULL""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEMEX,,,
280,LTC INC. - PLANT 3,OVEN NO. 1B Cessna,LTC INC. - PLANT 3OVEN NO. 1B Cessna,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, TP2816A",SPECIFICATION,"BONDING,CURING OVEN",BLUE M,1,OVEN NO. 1B,TP2816A,125°F/500°F,±10°F,ELECTRIC PROPORTIONAL,"22"" X 34"" X 32""",13.9,A,EUROTHERM,FC1641000553,±2.0°F,EUROTHERM 6180A,TM104229,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,3,1,1,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Unloaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTER INDUSTRIES CORP.,,,
281,LTC INC. - PLANT 3,OVEN NO. 1B,LTC INC. - PLANT 3OVEN NO. 1B,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, TP2816A",SPECIFICATION,"BONDING,CURING OVEN",BLUE M,1,OVEN NO. 1B,2B per AMS 2750H,125°F/500°F,+10.0°F/-5.0°F,ELECTRIC PROPORTIONAL,"22"" X 34"" X 32""",13.9,Q,EUROTHERM,FC1641000553,±2.0°F,EUROTHERM 6180A,TM104229,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,3,1,1,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty Shelves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CENTERLINE, INC.",,,
282,LTC INC. - PLANT 3,OVEN NO. 2,LTC INC. - PLANT 3OVEN NO. 2,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,"BONDING,CURING OVEN",SPECIAL,2,OVEN NO. 2,2B per AMS 2750H,130°F/350°F,±10.0°F,GAS PROPORTIONAL,"96"" X 60"" X 120""",400,Q,EUROTHERM 3504,FC1602001544,±2.0°F,EUROTHERM 6180A,TM104229,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,1.5,3,1,MR 1.0,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CENTRAL AIR CONDITIONING COMPANY, INC.",,,
283,LTC INC. - PLANT 3,OVEN NO. 3,LTC INC. - PLANT 3OVEN NO. 3,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,"BONDING,CURING OVEN",GEHNRICH,9321,OVEN NO. 3,2B per AMS 2750H,150°F/270°F,±10.0°F,GAS PROPORTIONAL,"240"" X 72"" X 64""",640,Q,EUROTHERM 3504,FC1505000518,±2.0°F,EUROTHERM 6180A,TM104229,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,5.9,60,2,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CENTRAL POWER SYSTEMS & SERVICES, LLC",,,
284,LTC INC. - PLANT 3,Oven No. 4 Cessna,LTC INC. - PLANT 3Oven No. 4 Cessna,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H, TP2816A",SPECIFICATION,Bonding/Curing Oven,SPECIAL,4,Oven No. 4 Cessna,TP2816A,150°F/375°F,±10°F,GAS PROPORTIONAL,"200"" X 72"" X 72""",600,A,EUROTHERM 3504,FC1419001285,±2°F,EUROTHERM 6180A,UR37023-1-1-4806-B3,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,4,0,0,LL 41,DB 4,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTRAL TEXAS HEAT TREATING,,,
285,LTC INC. - PLANT 3,OVEN NO. 4,LTC INC. - PLANT 3OVEN NO. 4,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,"BONDING,CURING OVEN",SPECIAL,4,OVEN NO. 4,2B per AMS 2750H,150°F/350°F,±10.0°F,GAS PROPORTIONAL,"200"" X 72"" X 72""",600,Q,EUROTHERM 3504,FC1419001285,±2.0°F,EUROTHERM 6180A,UR37023-1-1-4806-B3,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,4,0,0,LL 41,DB 4,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTURION MANUFACTURING,,,
286,LTC INC. - PLANT 3,OVEN NO. 5,LTC INC. - PLANT 3OVEN NO. 5,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,Wisconsin Oven,EEWN-44-6E6.5,5,OVEN NO. 5,UNASSIGNED,130°F/190°F,±10.0°F,GAS PROPORTIONAL,"64"" X 48"" X 42""",75,A,Watlow F4,014456,±2.0°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTURY PLASTICS,,,
287,LTC INC. - PLANT 3,OVEN NO. 6,LTC INC. - PLANT 3OVEN NO. 6,2700 S CUSTER,"WICHITA, KS 67217",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",SPECIFICATION,Bonding/Curing Oven,DESPATCH,78700,OVEN NO. 6,2B per AMS 2750H,140°F/500°F,±10.0°F,GAS,"54"" X 60"" X 96""",180,Q,EUROTHERM 3504,FC1417000728,±2.0°F,EUROTHERM 6180A,TM104229,±2.0°F,,On-Site,PRODUCTION - Tested on Site,Used,42.6,68,off,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",x,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CERTAINTEED CORP.,,,
